Treatment,Rep,Sex,Seed,Slide,Individual,Side,Area,Mean,Min,Max,Length
P,R2,F,A,2,5,L,19791.056,142.758,64.534,201.553,2368.229
P,R2,M,A,1,1,L,17846.671,160.325,124.339,203.153,2135.984
P,R1,F,C,3,3,L,19403.473,126.436,50.818,180.484,2324.637
P,R2,F,C,1,5,L,19542.069,133.399,77.949,177.444,2346.061
P,R1,M,C,3,1,L,17532.424,100.096,47.253,150.533,2101.236
P,R2,F,C,3,4,L,19819.262,140.139,61.234,185.54,2372.511
P,R2,M,C,1,3,L,17601.722,133.189,76.693,184.258,2108.922
P,R1,F,C,1,5,L,18571.896,119.567,68.836,161.068,2225.21
P,R2,F,C,2,3,R,19888.56,119.931,62.003,178.438,2382.523
P,R1,F,C,3,1,L,19403.473,124.976,64.113,186.735,2329.759
P,R1,M,C,1,5,L,16770.145,105.667,61.022,144.902,2011.804
P,R1,M,C,3,2,L,16770.145,104.315,51.163,147.192,2006.216
P,R2,M,C,2,3,R,18364.001,127.383,71.916,166.684,2204.623
P,R2,F,C,2,1,L,19126.281,129.743,72.169,175.394,2294.15
P,R2,F,C,1,1,L,19542.069,133.411,61.28,211.007,2345.589
P,R1,M,C,1,1,R,17671.02,103.45,54.639,152.94,2121.862
P,R1,F,C,1,2,L,17948.213,123.138,56.573,183.129,2150.91
P,R1,F,C,1,3,L,19403.473,118.402,59.181,160.298,2327.661
P,R2,F,C,1,3,L,19819.262,124.498,68.612,181.075,2377.413
P,R2,F,C,3,3,L,19888.56,132.295,69.299,174.427,2382.058
P,R1,M,C,3,3,L,16839.443,104.468,57.407,157.856,2017.016
P,R2,M,C,3,4,L,17948.213,129.987,66.497,176.344,2150.893
P,R2,M,C,1,2,L,17948.213,126.738,57.689,182.016,2148.83
P,R2,M,C,1,1,L,17948.213,143.312,97.654,186.868,2155.528
P,R1,M,C,2,4,R,17185.933,101.118,55.461,141.666,2056.972
P,R2,M,C,2,5,R,18156.107,122.701,71.483,185.951,2179.697
P,R2,F,C,3,1,R,19888.56,128.762,78.199,164.74,2381.025
P,R1,M,C,3,4,L,17948.213,103.301,38.399,149.309,2155.56
P,R1,F,C,2,4,R,19264.877,101.094,42.798,151.146,2306.441
P,R1,F,C,2,1,L,19611.367,121.878,63.127,195.502,2352.845
P,R1,F,C,3,2,L,19264.877,120.838,57.13,173.013,2309.909
P,R1,M,C,2,3,L,17116.635,101.07,47.56,141.412,2048.922
P,R2,M,C,3,1,L,17601.722,135.282,98.111,181.872,2111.631
P,R1,M,C,3,5,L,17740.318,101.519,56.629,146.924,2123.037
P,R1,M,C,2,5,R,17463.126,93.353,47.553,131.161,2095.572
P,R2,M,C,2,4,L,17878.915,127.831,69.375,168.718,2140.186
P,R1,F,C,2,3,R,19472.771,108.66,59.074,165.518,2337.479
P,R2,F,C,1,4,L,19611.367,124.96,66.395,190.182,2352.33
P,R2,M,C,3,2,L,18156.107,133.861,75.773,174.156,2174.365
P,R1,F,C,1,1,L,19542.069,122.341,50.974,173.821,2345.131
P,R2,M,C,1,4,R,17948.213,123.369,70.079,162.156,2154.917
P,R1,F,C,2,5,R,19680.666,111.065,54.652,172.203,2359.551
P,R2,F,C,2,2,L,19957.858,127.023,59.004,185.603,2392.855
P,R1,M,C,1,4,L,16492.952,106.864,56.263,149.475,1975.042
P,R2,M,C,3,5,L,18017.511,130.68,77.842,171.792,2159.206
P,R2,M,C,2,2,R,17740.318,123.257,79.776,170.762,2130.515
P,R1,F,C,2,2,R,19126.281,106.716,46.589,158.264,2294.829
P,R2,M,C,2,1,R,17948.213,128.786,73.333,183.032,2155.303
P,R2,M,C,3,3,R,18225.405,121.848,71.652,164.258,2186.95
P,R1,M,C,2,2,L,16908.741,113.207,63.202,149.49,2028.408
P,R2,F,C,3,5,L,19611.367,132.301,61.325,178.463,2354.567
P,R1,M,C,2,1,L,17878.915,106.662,39.871,153.927,2140.445
P,R1,M,C,1,3,L,17809.616,101.669,44.042,143.742,2134.934
P,R1,F,C,3,5,R,18086.809,126.648,63.175,175.692,2168.429
P,R2,F,C,2,4,L,19680.666,128.836,68.034,171.724,2359.081
P,R2,F,C,1,2,L,19749.964,113.097,56.031,166.757,2369.208
P,R2,F,C,3,2,R,19680.666,125.86,67.734,165.024,2356.009
P,R1,M,C,1,2,L,17740.318,105.315,51.066,148.579,2123.804
P,R1,F,C,1,4,L,19680.666,122.075,51.047,192.535,2358.258
P,R2,F,C,2,5,L,19264.877,124.364,72.617,199.041,2308.918
P,R1,F,C,3,4,R,19611.367,132.466,54.476,181.559,2348.526
P,R2,M,C,1,5,R,18017.511,126.52,80.426,173.942,2162.349
M,R2,M,B,2,3,L,17797.202,159.57,107.29,204.737,2137.222
M,R2,M,B,2,1,L,17589.452,162.536,112.104,208.41,2105.969
M,R2,M,B,1,4,L,17727.952,167.272,120.98,204.792,2122.346
M,R2,F,B,1,2,L,19597.697,152.84,90.644,214.549,2352.437
M,R2,M,B,2,4,L,17797.202,172.181,121.348,206.076,2134.79
M,R2,M,B,1,1,L,17243.203,163.594,120.819,203.855,2065.798
M,R2,M,B,2,2,L,17173.954,141.607,75.714,197.276,2057.535
M,R2,F,B,1,3,L,19251.448,148.961,89.985,204.963,2307.979
M,R2,F,B,1,4,L,19043.699,132.668,55.06,203.184,2284.016
M,R2,M,B,2,5,L,17035.454,165.954,122.968,212.937,2046.55
M,R2,M,B,1,2,L,17589.452,160.33,90.496,206.401,2111.83
M,R2,F,B,1,5,L,19251.448,144.613,60.019,226.269,2305.472
M,R2,M,B,1,5,L,17381.703,169.107,113.259,208.207,2085.216
M,R2,F,B,1,1,L,19320.698,163.585,113.573,204.441,2319.397
M,R2,M,B,1,3,L,17797.202,153.153,97.74,213.391,2137.125
P,R1,M,B,3,4,L,16911.676,144.96,101.887,187.837,2044.58
P,R4,F,A,2,2,L,18473.799,133.253,79.896,182.7,2238.348
P,R4,M,A,3,5,L,16979.594,156.451,109.081,191.819,2054.191
P,R4,F,A,2,1,L,19017.146,151.348,106.166,187.457,2299.961
P,R4,F,A,1,3,L,18881.309,145.741,88.987,180.653,2283.052
P,R4,M,A,1,5,R,17794.615,149.847,109.303,183.713,2151.648
P,R4,F,A,1,2,L,18881.309,142.534,86.242,189.89,2283.558
P,R1,F,B,1,2,R,19152.982,142.506,95.136,177.481,2318.315
P,R4,F,A,2,4,L,19356.738,143.181,81.511,182.001,2347.964
P,R1,F,B,2,2,L,18337.962,139.916,81.358,188.85,2220.955
P,R1,F,B,3,5,L,18337.962,140.383,85.026,187.214,2220.955
P,R4,F,A,1,4,L,19356.738,149.466,109.061,188.628,2342.896
P,R1,M,B,2,2,L,17047.513,142.872,96.318,176.078,2061.584
P,R4,F,A,3,1,R,17998.37,141.834,75.214,187.967,2182.005
P,R2,M,B,1,2,R,17658.778,147.214,103.09,183.24,2138.365
P,R2,M,B,1,5,R,17794.615,156.661,113.487,189.119,2156.141
P,R4,F,A,3,4,L,19152.982,147.111,95.466,224.48,2324.006
P,R4,M,A,1,3,L,17726.696,151.258,114.634,178.837,2146.291
P,R1,M,B,1,4,L,16775.839,148.846,101.356,192.01,2030.296
P,R1,F,B,2,3,L,18405.88,142.202,94.38,178.439,2226.681
P,R4,F,A,1,5,R,19288.819,140.684,95.121,179.451,2336.292
P,R1,F,B,2,5,L,18473.799,138.35,80.46,190.137,2236.36
P,R4,M,A,2,3,R,16707.921,152.394,101.198,181.72,2025.306
P,R1,F,B,1,4,L,18270.043,148.762,105.268,186.666,2208.719
P,R1,M,B,3,5,L,16979.594,160.857,114.081,194.07,2052.603
P,R4,M,A,3,1,L,17658.778,155.474,105.487,186.646,2139.127
P,R1,F,B,1,3,L,19017.146,135.45,75.975,180.063,2301.438
P,R4,F,A,2,5,R,18949.227,147.88,100.667,182.992,2294.048
P,R4,F,A,3,2,L,19152.982,139.152,62.756,200.143,2318.257
P,R4,M,A,2,2,L,17455.023,141.45,98.953,177.511,2111.597
P,R1,M,B,1,3,L,16164.574,140.484,90.766,176.717,1955.698
P,R1,M,B,1,1,R,16504.166,155.506,100.528,195.276,1994.487
P,R4,M,A,2,1,L,17251.268,153.005,114.286,181.227,2088.7
P,R1,F,B,2,4,L,18609.635,138.443,76.591,188.008,2256.511
P,R1,M,B,3,2,L,16640.002,146.189,85.093,184.441,2012.252
P,R1,M,B,1,5,R,17387.105,143.864,87.29,183.518,2108.99
P,R4,M,A,2,4,L,17726.696,144.89,104.516,179.683,2143.14
P,R1,F,B,1,5,L,19085.064,146.495,71.221,187.074,2309.671
P,R1,F,B,2,1,L,19085.064,134.669,87.475,178.478,2312.316
P,R4,F,A,2,3,R,19356.738,152.313,113.468,192.833,2340.866
P,R1,M,B,3,3,R,16572.084,148.067,106.972,187.999,2008.739
P,R4,M,A,2,5,L,17183.349,138.227,111.805,176.184,2083.149
P,R1,F,B,3,3,L,18949.227,136.391,87.433,179.272,2291.085
P,R1,F,B,1,1,L,18677.554,139.202,81.105,178.032,2261.487
P,R1,M,B,1,2,L,16707.921,140.816,83.043,190.452,2019.782
P,R1,M,B,2,3,L,17047.513,147.876,81.25,189.354,2064.53
P,R1,F,B,3,4,L,18881.309,137.576,68.343,191.641,2290.092
P,R4,M,A,3,2,R,17251.268,157.894,115.731,187.387,2087.578
P,R4,M,A,3,4,L,17794.615,149.856,101.687,190.469,2156.944
P,R2,M,B,1,4,L,17658.778,147.685,110.975,179.25,2134.884
P,R4,F,A,3,5,L,18881.309,135.933,83.924,192.926,2283.171
P,R4,M,A,3,3,L,17658.778,148.131,101.884,189.186,2139.556
P,R4,M,A,1,4,L,17455.023,150.664,84.626,194.981,2112.546
P,R1,M,B,2,4,R,17387.105,148.253,77.335,187.101,2109.65
P,R2,M,B,1,1,L,18134.207,136.343,87.471,172.539,2192.237
P,R2,M,B,1,3,L,17794.615,160.535,120.673,187.881,2152.847
P,R1,M,B,3,1,L,16775.839,147.929,91.704,186.285,2035.441
P,R1,F,B,3,1,L,19152.982,137.374,94.078,182.747,2318.432
P,R4,F,A,1,1,R,19017.146,132.825,75.783,181.23,2306.508
P,R4,F,A,3,3,R,18949.227,142.006,89.597,206.206,2292.019
P,R4,M,A,1,2,L,16979.594,141.5,86.599,181.423,2057.759
P,R1,M,B,2,5,L,16504.166,151.642,72.527,201.526,2000.523
P,R4,M,A,1,1,L,17115.431,146.717,92.079,183.829,2073.869
P,R1,F,B,3,2,L,20375.513,139.716,90.828,183.519,2465.349
P,R1,M,B,2,1,L,15960.819,158.182,118.725,199.312,1933.537
M,R1,F,A,3,5,R,18922.362,126.464,66.223,171.237,2269.07
M,R1,M,A,3,3,L,17264.928,127.488,67.364,165.221,2071.579
P,R3,F,C,1,2,R,19405.78,110.716,62.286,156.897,2328.819
P,R3,F,C,2,3,L,19751.078,127.072,52.997,200.242,2370.51
M,R1,F,A,1,1,L,18646.123,128.842,71.104,167.509,2239.261
M,R1,M,A,1,2,L,16781.51,143.752,92.176,197.08,2013.766
M,R1,M,A,1,5,L,17195.869,128.982,76.774,190.776,2062.609
M,R1,M,A,1,3,L,17057.749,132.3,72.528,181.896,2052.136
M,R1,F,A,2,1,R,18508.003,124.439,64.791,192.435,2219.746
M,R1,F,A,2,3,L,18715.182,126.247,44.886,184.999,2249.231
P,R3,M,C,2,2,R,17610.227,187.127,116.083,239.364,2111.793
P,R3,M,C,1,2,R,17955.526,199.847,125,244.251,2155.056
P,R3,F,C,2,4,L,19889.198,130.069,82.341,186.144,2389.213
M,R1,M,A,2,5,R,17126.809,130.93,65.86,184.492,2057.798
P,R3,M,C,2,5,L,18024.585,189.474,88.804,233.625,2160.8
M,R1,M,A,3,2,L,17057.749,130.751,82.963,164.395,2050.873
P,R3,F,C,3,4,L,19682.018,120.594,52.271,191.774,2360.336
P,R3,F,C,1,1,R,19751.078,136.738,65.384,189.458,2376.344
M,R1,F,A,1,5,R,18784.242,118.158,50.092,166.395,2258.82
M,R1,F,A,3,1,L,18991.421,124.184,75.529,169.452,2281.908
P,R3,M,C,1,3,L,17403.048,211.366,112.642,245.256,2086.113
P,R3,M,C,3,4,L,17541.167,124.197,61.65,169.923,2108.062
M,R1,M,A,2,4,L,16712.451,130.983,76.226,169.48,2009.527
P,R3,F,C,3,5,R,20027.317,124.543,56.833,225.312,2402.012
P,R3,M,C,3,2,L,17955.526,117.107,66.342,172.726,2159.282
M,R1,F,A,2,4,R,18508.003,125.664,68.601,178.601,2225.929
P,R3,M,C,2,4,R,17886.466,188.048,100.895,241.161,2149.955
M,R1,F,A,3,3,L,18784.242,132.061,68.139,172.974,2257.567
P,R3,M,C,3,1,L,17679.287,129.784,62.646,191.405,2119.513
P,R3,M,C,3,5,L,18162.705,136.87,87.634,178.494,2183.184
M,R1,F,A,2,5,L,18853.302,128.404,61.454,169.773,2261.906
P,R3,F,C,1,3,L,19682.018,127.346,49.767,197.26,2367.61
P,R3,M,C,1,1,R,17195.869,196.847,129.987,233.194,2066.556
M,R1,F,A,1,2,L,19129.541,127.67,70.365,176.124,2293.755
P,R3,F,C,2,5,L,19474.839,134.633,72.028,185.889,2338.496
P,R3,M,C,1,4,L,17817.406,197.218,100.757,240.414,2142.232
M,R1,F,A,1,4,L,18784.242,132.543,65.15,187.903,2258.973
M,R1,M,A,2,1,L,16850.57,128.627,74.78,187.742,2019.4
P,R3,F,C,3,1,L,19198.6,126.565,81.936,191.284,2304.809
M,R1,M,A,1,1,R,16988.69,128.246,70.96,169.556,2036.834
P,R3,F,C,1,4,L,19682.018,121.688,55.253,181.943,2362.748
P,R3,F,C,1,5,L,20027.317,132.057,72.691,190.881,2403.162
P,R3,M,C,3,3,L,17610.227,128.659,75,193.667,2110.795
M,R1,M,A,2,2,R,17126.809,132.338,64.527,175.015,2060.029
P,R3,M,C,2,3,L,18300.824,190.382,99.747,238.017,2193.96
P,R3,F,C,3,3,L,19889.198,123.335,56.255,170.051,2388.909
P,R3,M,C,2,1,L,17817.406,174.659,88.148,244.46,2142.377
P,R3,F,C,2,1,L,19267.66,140.534,77.397,193.512,2317.582
M,R1,F,A,1,3,L,18784.242,126.683,67.336,190.493,2257.46
M,R1,F,A,2,2,L,19267.66,130.047,57.339,181.633,2310.48
M,R1,M,A,2,3,L,17057.749,134.11,94.566,175.744,2048.633
M,R1,M,A,3,5,L,16919.63,133.815,57.607,180.847,2027.761
P,R3,M,C,1,5,L,18300.824,206.854,113.772,245.04,2196.241
M,R1,F,A,3,4,L,18784.242,120.491,60.189,169.944,2253.418
M,R1,M,A,3,1,L,17057.749,134.298,55.714,173.747,2051.294
M,R1,M,A,3,4,L,17679.287,140.311,81.266,226.545,2122.769
M,R1,M,A,1,4,L,16505.272,139.157,87.354,174.216,1982.296
P,R3,F,C,2,2,L,19129.541,138.453,90.948,178.265,2298.973
M,R1,F,A,3,2,R,19129.541,126.07,74.888,164.147,2300.895
M,R3,F,B,2,3,L,19109.089,186.704,135.995,224.693,2293.949
M,R2,M,A,1,4,L,18001.315,189.39,116.96,224.715,2158.957
M,R2,F,A,1,3,L,18485.966,175.182,94.845,239.007,2218.552
M,R2,M,A,3,5,L,17793.608,194.047,128.591,221.871,2136.439
M,R2,F,A,3,4,L,19593.74,185.185,119.852,228.771,2349.785
M,R3,M,B,3,2,L,17862.844,195.025,139.782,235.966,2142.588
M,R3,F,B,3,3,L,18970.617,202.025,141.23,236.064,2277.668
M,R2,M,A,2,4,L,17724.372,177.912,124.155,233.957,2121.871
M,R2,M,A,3,4,L,17516.665,184.201,121.468,221.179,2097.256
M,R2,M,A,3,2,L,18209.023,185.034,114.46,231.572,2181.782
M,R1,M,B,1,1,R,16685.835,184.791,124.826,225.963,2000.458
M,R1,F,B,3,4,L,19178.325,187.735,117.604,230.94,2298.23
M,R1,F,B,2,2,L,18693.674,188.045,122.542,234.172,2246.14
M,R2,M,A,1,5,L,17655.136,178.26,125.84,237.876,2115.057
M,R2,F,A,1,2,L,19316.796,175.441,100.428,235.683,2314.621
M,R2,M,A,1,1,L,18485.966,175.494,99.76,223.251,2214.914
M,R1,F,B,2,4,L,18555.202,185.655,123.019,237,2221.718
M,R1,F,B,3,1,R,19109.089,186.754,123.631,237.09,2289.371
M,R1,M,B,1,2,L,17239.721,184.334,121.307,226.859,2064.164
M,R2,M,A,3,3,L,17170.486,189.98,137.661,230.157,2058.74
M,R1,F,B,2,1,L,18832.145,188.473,108.195,239.054,2257.946
M,R1,F,B,1,4,R,19247.56,193.111,128.751,234.264,2304.999
M,R3,M,B,3,5,R,17378.193,199.558,155.477,228.941,2081.898
M,R3,M,B,2,2,L,17655.136,178.974,125.333,226.68,2120.027
M,R2,F,A,1,5,L,18693.674,177.16,99.562,231.762,2244.598
M,R1,M,B,2,5,L,17239.721,194.202,118.492,237.282,2071.012
M,R1,M,B,3,5,L,17378.193,202.493,142.863,236.276,2083.993
M,R1,M,B,3,3,L,17170.486,192.608,138.694,240.538,2061.563
M,R2,M,A,1,3,R,17378.193,191.336,123.342,229.229,2085.188
M,R3,M,B,2,4,L,17793.608,181.166,130.576,231.408,2130.419
M,R1,F,B,3,3,L,18555.202,191.246,128.413,238.597,2226.154
M,R2,F,A,2,4,L,18762.91,197.769,136.661,236.516,2250.082
M,R2,M,A,2,3,L,17655.136,196.525,143.812,230.708,2118.132
M,R2,F,A,1,4,L,19939.919,155.231,77.916,213.67,2395.757
M,R1,M,B,1,5,L,17239.721,183.533,112.56,229.73,2064.315
M,R2,F,A,1,1,L,19524.504,160.903,98.615,221.63,2344.062
M,R3,F,B,2,1,L,18485.966,192.604,142.781,233.495,2218.396
M,R3,F,B,3,2,L,19109.089,195.037,149.219,238.734,2294.628
M,R2,M,A,2,1,L,17378.193,181.494,114.758,230.992,2085.006
M,R1,M,B,2,2,L,16685.835,198.045,137.707,236.676,2001.323
M,R1,M,B,3,4,L,17239.721,179.398,118.229,231.423,2071.396
M,R3,F,B,2,4,L,19455.268,190.186,127.806,223.944,2331.445
M,R1,F,B,1,2,L,19109.089,187.565,117.404,232.823,2291.85
M,R1,F,B,1,3,L,19039.853,189.633,108.095,234.149,2284.512
M,R2,F,A,2,1,L,19039.853,172.25,105.245,226.856,2287.238
M,R3,F,B,3,5,L,19316.796,180.335,134.726,239.205,2319.476
M,R1,M,B,3,2,L,17239.721,185.515,129.564,226.015,2064.164
M,R2,F,A,2,2,L,19316.796,180.483,101.809,236.606,2314.232
M,R2,F,A,3,3,L,19247.56,189.795,117.63,237.232,2310.069
M,R2,F,A,3,2,L,19662.975,179.459,91.935,233.86,2361.585
M,R1,M,B,3,1,L,17239.721,181.937,127.733,235.374,2071.095
M,R3,M,B,3,3,L,17793.608,197.779,155.583,235.585,2132.871
M,R2,F,A,3,1,L,19801.447,175.702,82.146,231.488,2375.295
M,R3,F,B,3,1,L,19455.268,189.166,131.546,232.994,2332.825
M,R1,M,B,1,4,L,17239.721,175.236,117.956,220.161,2070.26
M,R3,M,B,2,5,L,17101.25,171.861,113.143,214.236,2049.69
M,R2,M,A,2,5,L,17862.844,183.008,120.656,234.257,2141.683
M,R3,M,B,2,3,L,16824.306,185.353,95.462,233.917,2014.254
M,R2,M,A,2,2,L,17724.372,200.731,131.08,234.622,2123.681
M,R3,M,B,3,4,L,17585.901,203.198,157.599,239.602,2109.37
M,R3,M,B,2,1,L,17516.665,180.796,103.422,223.762,2101.066
M,R2,M,A,3,1,L,16270.42,192.805,146.946,229.594,1953.477
M,R1,F,B,3,2,R,18901.381,198.481,135.402,237.427,2270.651
M,R1,M,B,2,1,L,16755.071,191.687,116.359,236.64,2010.435
M,R1,F,B,1,5,L,18901.381,171.821,103.065,236.066,2263.81
M,R1,F,B,1,1,L,18762.91,170.047,91,235,2246.618
M,R3,F,B,2,5,L,19039.853,197.201,152.829,234.462,2283.497
M,R2,F,A,3,5,L,19662.975,181.941,118.194,237.646,2359.723
M,R2,F,A,2,5,L,19247.56,184.06,103.948,240.677,2306.17
M,R1,F,B,3,5,L,18832.145,193.205,134.432,238.528,2262.479
M,R1,M,B,1,3,L,17101.25,177.374,119.537,219.43,2047.663
M,R1,F,B,2,5,L,18970.617,189.863,129.07,234.062,2274.398
M,R3,F,B,2,2,L,18901.381,192.409,134.045,232.622,2265.461
M,R3,F,B,3,4,L,19386.032,182.172,114.439,234.581,2326.986
M,R1,F,B,2,3,L,19039.853,186.42,113.632,234.948,2285.967
M,R2,F,A,2,3,L,19109.089,199.077,116.632,234.01,2294.643
M,R1,M,B,2,3,L,17170.486,191.633,121.863,237.076,2060.488
M,R2,M,A,1,2,L,17032.014,190.818,125.046,229.018,2042.669
M,R3,M,B,3,1,L,18139.787,196.242,139.891,233.624,2177.207
M,R1,M,B,2,4,L,17516.665,189.715,107.668,237.11,2103.042
P,R4,F,B,1,5,L,19443.844,145.116,82.949,200.02,2332.896
P,R3,M,B,3,1,R,18124.441,173.35,119.333,224.596,2167.659
P,R3,F,B,3,5,L,20624.363,153.021,65.125,215.651,2469.836
P,R3,M,B,1,3,L,18263.325,164.454,104.274,218.333,2188.446
P,R2,M,B,3,5,L,17916.114,209.35,129.95,253.459,2148.432
P,R2,F,B,1,5,L,19374.402,175.38,84.907,221.283,2320.42
P,R3,F,B,3,1,L,20207.71,167.032,66.431,235.614,2420.85
P,R2,M,B,3,1,L,18471.652,202.729,96.239,250.255,2216.601
P,R2,M,B,3,2,R,17916.114,198.111,124.712,246.115,2144.89
P,R2,M,B,2,4,R,18332.768,190.536,106.813,245.925,2193.913
P,R4,M,B,2,3,L,18054.998,181.605,141.849,218.334,2162.286
P,R4,F,B,1,1,L,19374.402,154.483,76.716,209.494,2322.035
P,R4,M,B,1,4,L,17499.46,157.795,109.273,204.711,2096.426
P,R4,M,B,2,5,L,18054.998,175.12,121.326,213.004,2166.072
P,R4,M,B,2,4,R,17985.556,175.014,132.641,213.682,2156.369
P,R2,M,B,2,2,L,18054.998,211.58,113.902,248.061,2158.445
P,R4,F,B,1,3,L,19443.844,148.974,65.37,208.457,2326.741
P,R2,F,B,3,5,L,19166.075,169.611,76.788,244.333,2291.768
P,R3,M,B,3,2,L,17221.691,177.108,78.881,221.899,2058.909
P,R4,M,B,1,2,L,17707.787,165.514,76.342,221.601,2118.798
P,R3,F,B,1,5,R,20068.825,159.863,78.011,203.049,2405.353
P,R3,F,B,1,3,R,20346.594,155.958,98.749,216.507,2434.808
P,R2,F,B,2,2,R,19513.287,155.76,92.761,219.041,2341.052
P,R3,F,B,1,4,L,19235.517,149.951,64.317,190.942,2302.816
P,R2,F,B,2,1,L,20068.825,171.456,89.828,242.563,2401.409
P,R2,M,B,2,1,L,18124.441,194.034,108.674,237.172,2174.072
P,R3,M,B,1,4,R,18332.768,151.415,80.23,209.821,2198.845
P,R3,F,B,1,2,R,19513.287,159.54,92.706,216.691,2337.416
P,R3,F,B,2,4,L,20068.825,158.616,80.709,204.764,2404.646
P,R4,M,B,1,3,R,17707.787,149.609,81.123,208.632,2118.044
P,R3,M,B,3,5,L,17638.344,164.634,103.047,211.915,2116.257
P,R3,F,B,3,3,L,19652.171,162.678,97.369,213.284,2351.441
P,R3,F,B,2,3,L,19999.383,158.722,82.965,208.858,2392.152
P,R3,M,B,2,5,L,18124.441,171.12,101.1,217.564,2172.411
P,R3,F,B,1,1,L,19443.844,163.841,89.045,228.345,2327.71
P,R2,F,B,1,1,L,19860.498,187.106,100.153,245.486,2376.381
P,R3,M,B,3,4,L,18679.979,155.315,81.762,200.665,2240.641
P,R2,F,B,1,2,L,20068.825,201.375,112.849,247.492,2401.135
P,R2,M,B,2,3,L,17568.902,202.246,108.853,241.613,2102.479
P,R2,M,B,3,3,L,17777.229,206.182,155.099,237.918,2130.385
P,R2,F,B,2,3,L,19929.94,169.342,87.144,238.747,2383.661
P,R3,M,B,1,2,R,18193.883,176.003,95.063,233.553,2182.425
P,R2,F,B,3,1,L,19860.498,185.354,113.098,245.034,2382.029
P,R3,F,B,2,2,L,19860.498,156.977,69.026,216.107,2382.685
P,R4,M,B,2,1,L,16666.152,156.712,92.395,209.2,1999.014
P,R2,F,B,2,4,L,19582.729,164.052,78.687,219.218,2343.113
P,R3,M,B,2,3,L,18193.883,173.68,101.008,219.821,2176.897
P,R3,F,B,3,4,L,19374.402,162.339,96.826,222.803,2323.993
P,R2,F,B,1,4,L,20416.037,154.249,106.516,211.972,2445.267
P,R3,F,B,2,5,L,19721.614,163.795,78.505,224.846,2358.356
P,R2,M,B,2,5,L,18124.441,196.999,102.004,237.086,2167.546
P,R2,F,B,2,5,L,19929.94,177.946,98.502,227.895,2389.814
P,R4,M,B,2,2,L,16596.71,171.641,122.324,207.673,1989.962
P,R3,M,B,1,5,L,18679.979,162.785,76.54,220.055,2235.692
P,R2,F,B,1,3,R,19582.729,148.803,84.564,193.662,2345.912
P,R3,M,B,2,2,L,18263.325,175.782,88.505,238.888,2187.367
P,R2,F,B,3,4,L,19929.94,167.006,94.785,223.483,2390.337
P,R3,F,B,2,1,L,20068.825,163.352,90.433,226.857,2404.386
P,R4,F,B,1,4,R,19513.287,144.179,78.757,197.886,2337.401
P,R4,M,B,1,1,R,17707.787,159.039,90.347,215.979,2118.225
P,R4,M,B,1,5,L,17985.556,154.872,83.005,206.534,2151.743
P,R3,M,B,1,1,L,18263.325,163.999,90.496,222.006,2184.889
P,R3,M,B,2,4,L,18263.325,174.255,106.724,227.977,2190.302
P,R2,F,B,3,2,L,19791.056,159.47,92.237,224.276,2370.207
P,R3,M,B,3,3,L,18471.652,156.682,81.786,200.98,2216.272
P,R2,M,B,3,4,L,18193.883,202.751,97.632,240.908,2176.626
P,R3,M,B,2,1,L,17846.671,156.543,71.779,215.282,2135.805
P,R4,F,B,1,2,R,19652.171,145.591,93.223,210.794,2353.286
P,R2,F,B,3,3,L,20207.71,148.985,93.221,209.181,2419.286
P,R3,F,B,3,2,L,19374.402,161.96,91.514,232.641,2318.968