Vial,Treatment,Replicate,Sex,Death_date,Death_time
1,M,R1,f,05/02/2017,14
1,M,R1,f,05/02/2017,18
1,M,R1,f,06/02/2017,0
2,M,R1,f,05/02/2017,22
2,M,R1,f,05/02/2017,22
2,M,R1,f,06/02/2017,8
3,M,R1,f,06/02/2017,2
3,M,R1,f,06/02/2017,2
3,M,R1,f,06/02/2017,4
4,M,R1,f,05/02/2017,22
4,M,R1,f,06/02/2017,4
4,M,R1,f,06/02/2017,8
5,M,R1,f,05/02/2017,16
5,M,R1,f,05/02/2017,22
5,M,R1,f,06/02/2017,0
6,M,R1,f,06/02/2017,2
6,M,R1,f,06/02/2017,6
6,M,R1,f,06/02/2017,8
7,M,R1,f,05/02/2017,22
7,M,R1,f,06/02/2017,6
7,M,R1,f,06/02/2017,8
8,M,R1,f,05/02/2017,22
8,M,R1,f,05/02/2017,22
8,M,R1,f,06/02/2017,2
9,M,R1,f,05/02/2017,22
9,M,R1,f,06/02/2017,6
9,M,R1,f,06/02/2017,18
1,P,R1,f,06/02/2017,4
1,P,R1,f,06/02/2017,4
1,P,R1,f,06/02/2017,8
2,P,R1,f,05/02/2017,22
2,P,R1,f,06/02/2017,10
2,P,R1,f,06/02/2017,12
3,P,R1,f,06/02/2017,2
3,P,R1,f,06/02/2017,2
3,P,R1,f,06/02/2017,6
4,P,R1,f,05/02/2017,22
4,P,R1,f,05/02/2017,22
4,P,R1,f,06/02/2017,4
5,P,R1,f,06/02/2017,0
5,P,R1,f,06/02/2017,4
5,P,R1,f,06/02/2017,10
6,P,R1,f,05/02/2017,22
6,P,R1,f,06/02/2017,0
6,P,R1,f,06/02/2017,6
7,P,R1,f,06/02/2017,0
7,P,R1,f,06/02/2017,4
7,P,R1,f,06/02/2017,6
8,P,R1,f,06/02/2017,0
8,P,R1,f,06/02/2017,0
8,P,R1,f,06/02/2017,2
9,P,R1,f,06/02/2017,0
9,P,R1,f,06/02/2017,6
9,P,R1,f,06/02/2017,6
1,M,R2,f,06/02/2017,2
1,M,R2,f,06/02/2017,2
1,M,R2,f,06/02/2017,2
2,M,R2,f,05/02/2017,16
2,M,R2,f,06/02/2017,4
2,M,R2,f,06/02/2017,14
3,M,R2,f,05/02/2017,8
3,M,R2,f,05/02/2017,14
3,M,R2,f,05/02/2017,18
4,M,R2,f,05/02/2017,14
4,M,R2,f,05/02/2017,16
4,M,R2,f,05/02/2017,22
5,M,R2,f,05/02/2017,10
5,M,R2,f,05/02/2017,18
5,M,R2,f,05/02/2017,20
6,M,R2,f,05/02/2017,16
6,M,R2,f,05/02/2017,18
6,M,R2,f,06/02/2017,0
7,M,R2,f,05/02/2017,6
7,M,R2,f,05/02/2017,10
7,M,R2,f,05/02/2017,14
8,M,R2,f,05/02/2017,20
8,M,R2,f,05/02/2017,22
8,M,R2,f,06/02/2017,0
9,M,R2,f,05/02/2017,10
9,M,R2,f,05/02/2017,20
9,M,R2,f,05/02/2017,20
1,P,R2,f,06/02/2017,4
1,P,R2,f,06/02/2017,8
1,P,R2,f,06/02/2017,16
2,P,R2,f,06/02/2017,14
2,P,R2,f,06/02/2017,16
2,P,R2,f,06/02/2017,16
3,P,R2,f,06/02/2017,2
3,P,R2,f,06/02/2017,2
3,P,R2,f,06/02/2017,10
4,P,R2,f,06/02/2017,10
4,P,R2,f,06/02/2017,16
4,P,R2,f,06/02/2017,20
5,P,R2,f,06/02/2017,8
5,P,R2,f,06/02/2017,8
5,P,R2,f,06/02/2017,12
6,P,R2,f,07/02/2017,0
6,P,R2,f,07/02/2017,0
6,P,R2,f,07/02/2017,4
7,P,R2,f,06/02/2017,16
7,P,R2,f,07/02/2017,0
7,P,R2,f,07/02/2017,6
8,P,R2,f,06/02/2017,8
8,P,R2,f,07/02/2017,0
8,P,R2,f,07/02/2017,4
9,P,R2,f,06/02/2017,8
9,P,R2,f,06/02/2017,8
9,P,R2,f,06/02/2017,2
10,P,R2,f,06/02/2017,14
10,P,R2,f,06/02/2017,22
10,P,R2,f,07/02/2017,4
1,M,R3,f,05/02/2017,22
1,M,R3,f,06/02/2017,4
1,M,R3,f,06/02/2017,22
2,M,R3,f,06/02/2017,12
2,M,R3,f,06/02/2017,16
2,M,R3,f,07/02/2017,2
3,M,R3,f,06/02/2017,2
3,M,R3,f,06/02/2017,6
3,M,R3,f,06/02/2017,12
4,M,R3,f,06/02/2017,4
4,M,R3,f,06/02/2017,6
4,M,R3,f,06/02/2017,6
5,M,R3,f,05/02/2017,20
5,M,R3,f,05/02/2017,22
5,M,R3,f,06/02/2017,2
6,M,R3,f,06/02/2017,2
6,M,R3,f,06/02/2017,10
6,M,R3,f,06/02/2017,16
7,M,R3,f,06/02/2017,2
7,M,R3,f,06/02/2017,6
7,M,R3,f,06/02/2017,16
8,M,R3,f,06/02/2017,10
8,M,R3,f,06/02/2017,10
8,M,R3,f,06/02/2017,14
1,P,R3,f,06/02/2017,16
1,P,R3,f,06/02/2017,18
1,P,R3,f,06/02/2017,18
2,P,R3,f,06/02/2017,4
2,P,R3,f,06/02/2017,6
2,P,R3,f,06/02/2017,10
3,P,R3,f,06/02/2017,2
3,P,R3,f,06/02/2017,16
3,P,R3,f,07/02/2017,2
4,P,R3,f,06/02/2017,2
4,P,R3,f,06/02/2017,4
4,P,R3,f,06/02/2017,8
5,P,R3,f,06/02/2017,2
5,P,R3,f,06/02/2017,2
5,P,R3,f,06/02/2017,10
6,P,R3,f,05/02/2017,20
6,P,R3,f,05/02/2017,22
6,P,R3,f,06/02/2017,0
7,P,R3,f,05/02/2017,16
7,P,R3,f,05/02/2017,18
7,P,R3,f,06/02/2017,2
8,P,R3,f,05/02/2017,18
8,P,R3,f,05/02/2017,22
8,P,R3,f,05/02/2017,22
9,P,R3,f,05/02/2017,18
9,P,R3,f,06/02/2017,2
9,P,R3,f,06/02/2017,6
10,P,R3,f,05/02/2017,14
10,P,R3,f,05/02/2017,22
10,P,R3,f,06/02/2017,2
1,M,R4,f,06/02/2017,0
1,M,R4,f,06/02/2017,2
1,M,R4,f,06/02/2017,8
2,M,R4,f,05/02/2017,22
2,M,R4,f,06/02/2017,10
2,M,R4,f,06/02/2017,16
3,M,R4,f,06/02/2017,0
3,M,R4,f,06/02/2017,4
3,M,R4,f,06/02/2017,10
4,M,R4,f,06/02/2017,10
4,M,R4,f,06/02/2017,16
4,M,R4,f,07/02/2017,2
5,M,R4,f,06/02/2017,4
5,M,R4,f,06/02/2017,6
5,M,R4,f,06/02/2017,8
6,M,R4,f,06/02/2017,0
6,M,R4,f,06/02/2017,6
6,M,R4,f,06/02/2017,16
7,M,R4,f,06/02/2017,0
7,M,R4,f,06/02/2017,2
7,M,R4,f,06/02/2017,8
8,M,R4,f,06/02/2017,8
8,M,R4,f,06/02/2017,14
8,M,R4,f,06/02/2017,20
9,M,R4,f,06/02/2017,0
9,M,R4,f,06/02/2017,4
9,M,R4,f,06/02/2017,16
10,M,R4,f,06/02/2017,12
10,M,R4,f,06/02/2017,16
10,M,R4,f,07/02/2017,0
1,P,R4,f,05/02/2017,18
1,P,R4,f,05/02/2017,20
1,P,R4,f,05/02/2017,22
2,P,R4,f,06/02/2017,2
2,P,R4,f,06/02/2017,4
2,P,R4,f,06/02/2017,8
3,P,R4,f,05/02/2017,16
3,P,R4,f,05/02/2017,22
3,P,R4,f,06/02/2017,2
4,P,R4,f,06/02/2017,2
4,P,R4,f,06/02/2017,8
4,P,R4,f,06/02/2017,10
5,P,R4,f,06/02/2017,2
5,P,R4,f,06/02/2017,2
5,P,R4,f,06/02/2017,10
6,P,R4,f,06/02/2017,0
6,P,R4,f,06/02/2017,4
6,P,R4,f,06/02/2017,8
7,P,R4,f,05/02/2017,22
7,P,R4,f,06/02/2017,4
7,P,R4,f,06/02/2017,6
8,P,R4,f,05/02/2017,22
8,P,R4,f,06/02/2017,0
8,P,R4,f,06/02/2017,10
9,P,R4,f,06/02/2017,0
9,P,R4,f,06/02/2017,2
9,P,R4,f,06/02/2017,10
11,M,R1,m,05/02/2017,18
11,M,R1,m,05/02/2017,20
11,M,R1,m,06/02/2017,20
12,M,R1,m,05/02/2017,8
12,M,R1,m,05/02/2017,18
12,M,R1,m,06/02/2017,14
13,M,R1,m,05/02/2017,6
13,M,R1,m,05/02/2017,16
13,M,R1,m,05/02/2017,20
14,M,R1,m,05/02/2017,20
14,M,R1,m,05/02/2017,22
14,M,R1,m,06/02/2017,4
15,M,R1,m,05/02/2017,16
15,M,R1,m,06/02/2017,0
15,M,R1,m,06/02/2017,4
16,M,R1,m,05/02/2017,20
16,M,R1,m,06/02/2017,0
16,M,R1,m,06/02/2017,8
17,M,R1,m,05/02/2017,14
17,M,R1,m,06/02/2017,0
17,M,R1,m,06/02/2017,4
18,M,R1,m,05/02/2017,14
18,M,R1,m,06/02/2017,0
18,M,R1,m,06/02/2017,2
19,M,R1,m,05/02/2017,16
19,M,R1,m,05/02/2017,20
19,M,R1,m,05/02/2017,22
11,P,R1,m,05/02/2017,18
11,P,R1,m,05/02/2017,20
11,P,R1,m,05/02/2017,20
12,P,R1,m,05/02/2017,8
12,P,R1,m,05/02/2017,14
12,P,R1,m,05/02/2017,18
13,P,R1,m,05/02/2017,10
13,P,R1,m,05/02/2017,16
13,P,R1,m,05/02/2017,16
14,P,R1,m,05/02/2017,14
14,P,R1,m,05/02/2017,14
14,P,R1,m,06/02/2017,0
15,P,R1,m,05/02/2017,14
15,P,R1,m,05/02/2017,18
15,P,R1,m,05/02/2017,20
16,P,R1,m,05/02/2017,18
16,P,R1,m,05/02/2017,22
16,P,R1,m,05/02/2017,22
17,P,R1,m,05/02/2017,12
17,P,R1,m,05/02/2017,12
17,P,R1,m,05/02/2017,20
11,M,R2,m,05/02/2017,8
11,M,R2,m,05/02/2017,22
11,M,R2,m,06/02/2017,4
12,M,R2,m,05/02/2017,4
12,M,R2,m,05/02/2017,12
12,M,R2,m,05/02/2017,18
13,M,R2,m,05/02/2017,16
13,M,R2,m,05/02/2017,16
13,M,R2,m,05/02/2017,16
14,M,R2,m,05/02/2017,4
14,M,R2,m,05/02/2017,8
14,M,R2,m,05/02/2017,10
15,M,R2,m,05/02/2017,16
15,M,R2,m,05/02/2017,16
15,M,R2,m,05/02/2017,20
16,M,R2,m,05/02/2017,14
16,M,R2,m,05/02/2017,18
16,M,R2,m,06/02/2017,2
17,M,R2,m,05/02/2017,18
17,M,R2,m,05/02/2017,20
17,M,R2,m,06/02/2017,0
18,M,R2,m,05/02/2017,18
18,M,R2,m,05/02/2017,20
18,M,R2,m,05/02/2017,22
19,M,R2,m,05/02/2017,14
19,M,R2,m,05/02/2017,18
19,M,R2,m,05/02/2017,20
20,M,R2,m,05/02/2017,16
20,M,R2,m,05/02/2017,22
20,M,R2,m,06/02/2017,0
11,P,R2,m,05/02/2017,12
11,P,R2,m,05/02/2017,20
11,P,R2,m,05/02/2017,22
12,P,R2,m,05/02/2017,4
12,P,R2,m,05/02/2017,18
12,P,R2,m,05/02/2017,22
13,P,R2,m,05/02/2017,16
13,P,R2,m,05/02/2017,20
13,P,R2,m,06/02/2017,0
14,P,R2,m,05/02/2017,8
14,P,R2,m,05/02/2017,12
14,P,R2,m,05/02/2017,22
15,P,R2,m,05/02/2017,20
15,P,R2,m,05/02/2017,22
15,P,R2,m,06/02/2017,4
16,P,R2,m,05/02/2017,20
16,P,R2,m,06/02/2017,0
16,P,R2,m,06/02/2017,4
17,P,R2,m,05/02/2017,14
17,P,R2,m,05/02/2017,20
17,P,R2,m,05/02/2017,22
18,P,R2,m,05/02/2017,16
18,P,R2,m,06/02/2017,0
18,P,R2,m,06/02/2017,4
11,M,R3,m,05/02/2017,16
11,M,R3,m,05/02/2017,20
11,M,R3,m,06/02/2017,0
12,M,R3,m,05/02/2017,14
12,M,R3,m,05/02/2017,20
12,M,R3,m,05/02/2017,20
13,M,R3,m,05/02/2017,16
13,M,R3,m,05/02/2017,18
13,M,R3,m,06/02/2017,0
14,M,R3,m,05/02/2017,8
14,M,R3,m,05/02/2017,16
14,M,R3,m,05/02/2017,22
15,M,R3,m,05/02/2017,8
15,M,R3,m,05/02/2017,22
15,M,R3,m,05/02/2017,22
16,M,R3,m,05/02/2017,18
16,M,R3,m,05/02/2017,18
16,M,R3,m,06/02/2017,0
17,M,R3,m,05/02/2017,18
17,M,R3,m,05/02/2017,22
17,M,R3,m,06/02/2017,4
18,M,R3,m,05/02/2017,22
18,M,R3,m,06/02/2017,0
18,M,R3,m,06/02/2017,6
19,M,R3,m,05/02/2017,22
19,M,R3,m,06/02/2017,4
19,M,R3,m,06/02/2017,8
11,P,R3,m,05/02/2017,20
11,P,R3,m,05/02/2017,20
11,P,R3,m,06/02/2017,4
12,P,R3,m,05/02/2017,16
12,P,R3,m,05/02/2017,16
12,P,R3,m,05/02/2017,20
13,P,R3,m,05/02/2017,14
13,P,R3,m,05/02/2017,16
13,P,R3,m,05/02/2017,22
14,P,R3,m,05/02/2017,18
14,P,R3,m,05/02/2017,22
14,P,R3,m,05/02/2017,22
15,P,R3,m,05/02/2017,22
15,P,R3,m,06/02/2017,0
15,P,R3,m,06/02/2017,0
16,P,R3,m,05/02/2017,18
16,P,R3,m,05/02/2017,20
16,P,R3,m,06/02/2017,0
17,P,R3,m,05/02/2017,20
17,P,R3,m,06/02/2017,4
17,P,R3,m,06/02/2017,6
18,P,R3,m,05/02/2017,20
18,P,R3,m,06/02/2017,0
18,P,R3,m,06/02/2017,4
19,P,R3,m,05/02/2017,18
19,P,R3,m,05/02/2017,22
19,P,R3,m,06/02/2017,0
20,P,R3,m,05/02/2017,12
20,P,R3,m,06/02/2017,0
20,P,R3,m,06/02/2017,2
11,M,R4,m,05/02/2017,12
11,M,R4,m,05/02/2017,12
11,M,R4,m,05/02/2017,22
12,M,R4,m,05/02/2017,22
12,M,R4,m,05/02/2017,22
12,M,R4,m,06/02/2017,0
13,M,R4,m,05/02/2017,20
13,M,R4,m,05/02/2017,22
13,M,R4,m,06/02/2017,10
14,M,R4,m,05/02/2017,18
14,M,R4,m,05/02/2017,20
14,M,R4,m,05/02/2017,22
15,M,R4,m,05/02/2017,18
15,M,R4,m,05/02/2017,20
15,M,R4,m,06/02/2017,6
16,M,R4,m,05/02/2017,14
16,M,R4,m,05/02/2017,20
16,M,R4,m,06/02/2017,4
17,M,R4,m,05/02/2017,14
17,M,R4,m,05/02/2017,22
17,M,R4,m,06/02/2017,2
18,M,R4,m,05/02/2017,22
18,M,R4,m,06/02/2017,0
18,M,R4,m,06/02/2017,6
19,M,R4,m,05/02/2017,14
19,M,R4,m,05/02/2017,20
19,M,R4,m,06/02/2017,8
11,P,R4,m,05/02/2017,16
11,P,R4,m,05/02/2017,18
11,P,R4,m,05/02/2017,18
12,P,R4,m,05/02/2017,20
12,P,R4,m,05/02/2017,22
12,P,R4,m,06/02/2017,2
13,P,R4,m,05/02/2017,16
13,P,R4,m,05/02/2017,18
13,P,R4,m,05/02/2017,0
14,P,R4,m,05/02/2017,20
14,P,R4,m,05/02/2017,20
14,P,R4,m,06/02/2017,2
15,P,R4,m,05/02/2017,14
15,P,R4,m,05/02/2017,22
15,P,R4,m,05/02/2017,22
16,P,R4,m,05/02/2017,14
16,P,R4,m,06/02/2017,2
16,P,R4,m,06/02/2017,2
17,P,R4,m,05/02/2017,18
17,P,R4,m,06/02/2017,0
17,P,R4,m,06/02/2017,0
18,P,R4,m,05/02/2017,18
18,P,R4,m,05/02/2017,22
18,P,R4,m,06/02/2017,4
19,P,R4,m,05/02/2017,16
19,P,R4,m,05/02/2017,20
19,P,R4,m,05/02/2017,22
20,P,R4,m,05/02/2017,22
20,P,R4,m,06/02/2017,2
20,P,R4,m,06/02/2017,4